auteur,equipe,titre,annee,type_publi,venue,rang_core,score_qualite,quartile_scimago
Allel HADJALI,IDD,Databases and Information Systems: Contributions from ADBIS 2023 Workshops and Doctoral Consortium.,2023,Conférence,ADBIS (Short Papers),Non classé,0.0,Non classé
Allel HADJALI,IDD,Towards a Context-based Mobility Prediction in Smart Cities: First Experimentations.,2023,Conférence,TrustCom,Non classé,0.0,Non classé
Allel HADJALI,IDD,RG-SKY: A fuzzy group skyline relaxation for combinatorial decision making.,2022,Revue,Comput. Sci. Inf. Syst.,Non classé,0.0,Non classé
Allel HADJALI,IDD,A cooperative treatment of the plethoric answers problem in RDF.,2022,Revue,Knowl. Inf. Syst.,Non classé,0.0,Non classé
Allel HADJALI,IDD,A Fuzzy Satisfaction Concept Based-Approach for Skyline Relaxation.,2022,Conférence,DEXA (2),Non classé,0.0,Non classé
Allel HADJALI,IDD,Fuzzy Group Skyline Relaxation.,2022,Conférence,LFA,Non classé,0.0,Non classé
Allel HADJALI,IDD,Trust Model Recommendation Driven by Application Requirements.,2022,Conférence,RCIS,B,2.0,Non classé
Allel HADJALI,IDD,Towards a Co-selection Approach for a Global Explainability of Black Box Machine Learning Models.,2022,Conférence,WISE,Non classé,0.0,Non classé
Allel HADJALI,IDD,Explaining Unexpected Answers of SPARQL Queries.,2022,Conférence,WISE,Non classé,0.0,Non classé
Allel HADJALI,IDD,RDF_QDAG in Action: Efficient RDF Data Querying at Scale.,2022,Conférence,WISE,Non classé,0.0,Non classé
Allel HADJALI,IDD,Skyline refinement exploiting fuzzy formal concept analysis.,2021,Revue,Int. J. Intell. Comput. Cybern.,Non classé,0.0,Non classé
Allel HADJALI,IDD,Selecting Services for Multiple Users: Let's Be Democratic.,2021,Revue,IEEE Trans. Serv. Comput.,Non classé,0.0,Non classé
Allel HADJALI,IDD,Dealing with Plethoric Answers of SPARQL Queries.,2021,Conférence,DEXA (1),Non classé,0.0,Non classé
Allel HADJALI,IDD,On Controlling Skyline Query Results: What Does Soft Computing Bring?,2021,Conférence,FQAS,Non classé,0.0,Non classé
Allel HADJALI,IDD,A Possible Worlds Interpretation of Many-Sorted Theory for IR.,2021,Conférence,IEA/AIE (2),Non classé,0.0,Non classé
Allel HADJALI,IDD,Towards a Unified Framework for Computational Trust and Reputation Models for e-Commerce Applications.,2021,Conférence,RCIS,B,2.0,Non classé
Annie CHOQUET-GENIET,SETR,De représentations de documents à programmes : l'hypothèse distributionnelle peut-elle vraiment être utilisée sur les langages de programmation?,2025,Conférence,EGC,C,1.0,Non classé
Annie CHOQUET-GENIET,SETR,From Document to Program Embeddings: Can Distributional Hypothesis Really Be Used on Programming Languages?,2024,Conférence,ECAI,A,3.0,Non classé
Annie CHOQUET-GENIET,SETR,Facsimiles-based deep learning for matching relief-printed decorations on medieval ceramic sherds.,2023,Conférence,ICCV (Workshops),Non classé,0.0,Non classé
Emmanuel GROLLEAU,SETR,A Fuzzy Time Series Forecasting Model for Urban Mid- and Long-term Electricity Load Forecasting.,2023,Conférence,ICNSC,C,1.0,Non classé
Emmanuel GROLLEAU,SETR,Urban Electricity Demand Forecasting with a Hybrid Machine Learning Model.,2023,Conférence,ICNSC,C,1.0,Non classé
Pascal RICHARD,SETR,Buffer dimensioning per frames in packet networks.,2025,Revue,Real Time Syst.,Non classé,0.0,Non classé
Pascal RICHARD,SETR,An unfair optimal scheduling algorithm for uniform multiprocessors.,2025,Conférence,ETFA,B,2.0,Non classé
Pascal RICHARD,SETR,FracAbut: A python toolbox for computing fracture stratigraphy using interface impedance.,2024,Revue,Comput. Geosci.,Non classé,0.0,Non classé
Pascal RICHARD,SETR,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,Conférence,RTSS,Non classé,0.0,Non classé
